property_type,sector,price,bedroom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat,sohna road,0.38,2.0,2.0,2,Relatively New,602.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 107,0.51,3.0,2.0,2,Relatively New,580.5,0.0,0.0,1.0,Low,Mid Floor
flat,sector 65,2.33,2.0,2.0,3,Under Construction,1137.5,0.0,0.0,0.0,Low,High Floor
flat,sector 70,2.4,3.0,3.0,3,Relatively New,1939.4329896907216,1.0,0.0,0.0,Medium,High Floor
flat,sector 52,0.45,1.0,1.0,N,Moderately Old,415.593,0.0,0.0,0.0,Low,Low Floor
flat,sector 36,0.45,1.0,1.0,1,Relatively New,451.0309278350516,0.0,0.0,1.0,Low,Mid Floor
flat,sector 71,1.0,3.0,3.0,3,Relatively New,1339.5618556701031,0.0,0.0,0.0,Low,Mid Floor
flat,sector 50,2.7,3.0,3.0,3,Moderately Old,2400.0,1.0,0.0,0.0,High,Mid Floor
flat,sector 69,1.65,3.0,3.0,2,Relatively New,1578.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 81,1.4,3.0,3.0,3,Relatively New,1347.3659793814434,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 69,1.2,2.0,3.0,1,Relatively New,1217.7835051546392,0.0,0.0,0.0,High,Low Floor
flat,sector 102,1.78,3.0,4.0,3,Moderately Old,1741.881443298969,1.0,0.0,0.0,Medium,Mid Floor
house,sector 2,6.0,5.0,6.0,3+,Old Property,2430.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 82,1.25,3.0,4.0,3,Under Construction,1768.041237113402,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 109,1.38,3.0,3.0,1,Moderately Old,1959.3,0.0,0.0,1.0,Low,Mid Floor
flat,sector 70,1.66,3.0,3.0,3,New Property,1900.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 4,1.05,3.0,2.0,2,New Property,1215.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 65,2.35,3.0,3.0,2,Relatively New,1650.0,1.0,0.0,1.0,High,Mid Floor
house,sector 48,7.25,3.0,4.0,2,Moderately Old,2592.0,1.0,1.0,0.0,Medium,Low Floor
flat,sector 107,1.49,3.0,4.0,3,Relatively New,2129.7680412371133,1.0,1.0,0.0,High,Mid Floor
flat,sector 102,1.3,3.0,3.0,3,Relatively New,1204.3620309278351,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 37,2.08,4.0,4.0,3,New Property,2203.737113402062,1.0,0.0,0.0,Medium,Low Floor
flat,sohna road,0.4,2.0,2.0,1,New Property,550.5422680412371,0.0,0.0,1.0,Low,Mid Floor
flat,sector 81,0.48,2.0,2.0,1,Relatively New,551.9273195876289,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 9,1.2,4.0,3.0,2,Moderately Old,1620.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 63,2.2,3.0,4.0,3,Moderately Old,1548.840206185567,0.0,0.0,0.0,Medium,Mid Floor
flat,sohna road,0.4,2.0,2.0,3,New Property,535.5,0.0,0.0,1.0,Low,High Floor
flat,sector 109,1.9,4.0,4.0,3,Relatively New,2755.798969072165,1.0,0.0,1.0,High,Mid Floor
flat,sohna road,0.28,1.0,1.0,2,Relatively New,43929.9,0.0,0.0,1.0,Low,Low Floor
flat,sector 84,0.6,2.0,2.0,2,Relatively New,1082.4742268041236,0.0,0.0,1.0,Medium,High Floor
house,sector 26,31.5,7.0,9.0,3+,Moderately Old,9000.0,1.0,1.0,0.0,Medium,Mid Floor
flat,sector 109,1.4,3.0,3.0,3,Relatively New,1466.0,0.0,1.0,0.0,Medium,Mid Floor
flat,sector 102,0.95,2.0,2.0,2,Relatively New,915.0,0.0,0.0,0.0,Low,High Floor
flat,sector 61,1.47,2.0,2.0,2,New Property,1035.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 1,0.68,3.0,3.0,3,Moderately Old,1526.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 102,1.35,2.0,2.0,2,Relatively New,825.3865979381444,0.0,0.0,0.0,Low,Mid Floor
flat,sector 2,1.5,4.0,4.0,3,Moderately Old,1850.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 104,2.0,3.0,4.0,3,Relatively New,2065.721649484536,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 68,1.8,3.0,3.0,3,Relatively New,1845.0,0.0,0.0,0.0,Medium,High Floor
house,sector 91,2.5,4.0,4.0,3+,Moderately Old,3400.0,1.0,1.0,0.0,Medium,Mid Floor
flat,sector 93,1.25,3.0,4.0,2,Relatively New,1350.0,0.0,0.0,0.0,Medium,High Floor
house,sector 38,2.1,2.0,7.0,3+,Relatively New,900.0,0.0,1.0,1.0,Low,Mid Floor
flat,sector 3,0.4,3.0,2.0,1,Relatively New,810.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 82,0.85,2.0,2.0,2,Relatively New,1172.680412371134,0.0,0.0,0.0,Low,Low Floor
flat,sector 85,1.73,4.0,5.0,3,Relatively New,2017.0,1.0,0.0,1.0,Low,Mid Floor
flat,sector 83,1.4,3.0,3.0,3,Relatively New,1426.923195876289,1.0,0.0,0.0,Medium,High Floor
flat,sector 58,3.8,3.0,4.0,1,Moderately Old,2164.0,1.0,0.0,0.0,High,High Floor
flat,sector 70,1.8,3.0,3.0,3,Relatively New,1925.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 79,2.69,3.0,4.0,3,New Property,2152.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 86,1.4,4.0,4.0,3,Relatively New,2125.257731958763,1.0,0.0,1.0,Medium,High Floor
flat,sector 65,13.2,4.0,4.0,3,Moderately Old,9900.0,1.0,0.0,0.0,Medium,High Floor
flat,sector 65,1.8,2.0,2.0,3,New Property,1179.0,0.0,0.0,1.0,Medium,High Floor
house,sector 108,1.7,4.0,4.0,3+,Relatively New,3000.0,0.0,0.0,0.0,Low,Low Floor
house,sector 7,8.0,4.0,5.0,3+,Old Property,3600.0,1.0,0.0,0.0,Low,Low Floor
flat,sector 81,0.95,2.0,2.0,2,Relatively New,1260.0,0.0,0.0,0.0,High,High Floor
house,sector 3,0.68,5.0,3.0,0,Relatively New,1755.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 83,1.12,3.0,3.0,2,Moderately Old,1500.0,0.0,0.0,0.0,Medium,High Floor
house,sector 81,4.35,4.0,4.0,3,Relatively New,5480.0,1.0,1.0,1.0,Medium,Low Floor
house,sector 12,3.5,8.0,8.0,3+,Relatively New,4800.0,1.0,0.0,0.0,Medium,Mid Floor
house,sector 28,10.5,5.0,6.0,3+,New Property,3240.0,1.0,0.0,0.0,High,Mid Floor
flat,sector 83,0.85,2.0,2.0,2,Moderately Old,1100.0,0.0,0.0,0.0,Medium,High Floor
